월,일,운량,일누적 자외선 A(MJ/m2),일최대 홍반자외선 B(W/m2 ),누적자외선위험,최대자외선위험,자외선위험,자외선위험
1,1,6.5,0.34,0.035,0,0,0,Normal
1,2,1.5,0.42,0.046,0,0,0,Normal
1,3,1.1,0.31,0.034,0,0,0,Normal
1,4,2,0.41,0.051,0,0,0,Normal
1,5,1.9,0.43,0.049,0,0,0,Normal
1,6,7.1,0.24,0.027,0,0,0,Normal
1,7,5.4,0.22,0.029,0,0,0,Normal
1,8,7,0.26,0.034,0,0,0,Normal
1,9,3.3,0.37,0.034,0,0,0,Normal
1,10,4.9,0.33,0.031,0,0,0,Normal
1,11,10,0.06,0.007,0,0,0,Normal
1,12,6.9,0.36,0.043,0,0,0,Normal
1,13,6.4,0.4,0.043,0,0,0,Normal
1,14,0.9,0.5,0.056,0,0,0,Normal
1,15,2.4,0.39,0.044,0,0,0,Normal
1,16,0,0.46,0.059,0,0,0,Normal
1,17,4.6,0.42,0.049,0,0,0,Normal
1,18,3.1,0.45,0.04,0,0,0,Normal
1,19,7.3,0.37,0.043,0,0,0,Normal
1,20,9.9,0.26,0.035,0,0,0,Normal
1,21,10,0.21,0.032,0,0,0,Normal
1,22,10,0.17,0.019,0,0,0,Normal
1,23,4.9,0.41,0.057,0,0,0,Normal
1,24,0.5,0.55,0.057,0,0,0,Normal
1,25,3.5,0.56,0.061,0,0,0,Normal
1,26,2.3,0.55,0.06,0,0,0,Normal
1,27,0.6,0.55,0.057,0,0,0,Normal
1,28,8.1,0.31,0.038,0,0,0,Normal
1,29,6.3,0.54,0.059,0,0,0,Normal
1,30,4.6,0.47,0.061,0,0,0,Normal
1,31,0.8,0.42,0.065,0,0,0,Normal
2,1,3.4,0.52,0.061,0,0,0,Normal
2,2,2.4,0.57,0.059,0,0,0,Normal
2,3,2.9,0.51,0.048,0,0,0,Normal
2,4,1.4,0.55,0.06,0,0,0,Normal
2,5,5.5,0.39,0.043,0,0,0,Normal
2,6,2,0.62,0.064,0,0,0,Normal
2,7,2,0.57,0.071,0,0,0,Normal
2,8,5.5,0.47,0.047,0,0,0,Normal
2,9,4.9,0.41,0.052,0,0,0,Normal
2,10,3.9,0.49,0.054,0,0,0,Normal
2,11,3.1,0.51,0.073,0,0,0,Normal
2,12,2.4,0.65,0.073,0,0,0,Normal
2,13,0.8,0.63,,0,0,0,Normal
2,14,2.1,0.56,0.082,0,0,0,Normal
2,15,0.4,0.79,0.081,0,0,0,Normal
2,16,2.3,0.69,0.056,0,0,0,Normal
2,17,0.3,0.76,0.077,0,0,0,Normal
2,18,2.6,0.73,0.073,0,0,0,Normal
2,19,0.6,0.59,0.055,0,0,0,Normal
2,20,2.5,0.63,0.071,0,0,0,Normal
2,21,1.1,0.68,0.082,0,0,0,Normal
2,22,2.6,0.52,0.066,0,0,0,Normal
2,23,0.9,0.76,0.09,0,0,0,Normal
2,24,0.3,0.81,0.096,0,0,0,Normal
2,25,8.3,0.26,0.03,0,0,0,Normal
2,26,5.5,0.64,0.094,0,0,0,Normal
2,27,0,0.72,0.102,0,0,0,Normal
2,28,1.9,0.69,0.106,0,0,0,Normal
2,29,4,0.56,0.061,0,0,0,Normal
3,1,1.4,0.85,0.097,0,0,0,Normal
3,2,7.8,0.33,0.05,0,0,0,Normal
3,3,2.9,0.78,0.082,0,0,0,Normal
3,4,1.6,0.84,0.084,0,0,0,Normal
3,5,0.3,0.85,0.095,0,0,0,Normal
3,6,3.3,0.62,0.106,0,0,0,Normal
3,7,0,0.83,0.091,0,0,0,Normal
3,8,4,0.88,0.107,0,0,0,Normal
3,9,4.3,0.8,0.101,0,0,0,Normal
3,10,2.1,0.75,0.105,0,0,0,Normal
3,11,3.1,0.64,0.073,0,0,0,Normal
3,12,0.4,0.7,0.082,0,0,0,Normal
3,13,9.1,0.31,0.043,0,0,0,Normal
3,14,0.3,0.89,0.109,0,0,0,Normal
3,15,4.4,0.9,0.122,0,0,0,Normal
3,16,3.5,0.82,0.101,0,0,0,Normal
3,17,0,0.94,0.12,0,0,0,Normal
3,18,4.6,0.69,0.085,0,0,0,Normal
3,19,2.5,0.82,0.098,0,0,0,Normal
3,20,0,1,0.107,0,0,0,Normal
3,21,3.9,0.97,0.137,0,0,0,Normal
3,22,9.1,0.45,0.066,0,0,0,Normal
3,23,10,0.3,0.043,0,0,0,Normal
3,24,3.3,0.87,0.105,0,0,0,Normal
3,25,4.1,0.83,0.112,0,0,0,Normal
3,26,2.8,0.84,0.095,0,0,0,Normal
3,27,3,1,0.105,0,0,0,Normal
3,28,2.8,1.06,0.12,1,0,1,Danger
3,29,10,0.36,0.051,0,0,0,Normal
3,30,8.3,0.47,0.052,0,0,0,Normal
3,31,2.5,1.05,0.12,1,0,1,Danger
4,1,2.6,1,0.13,0,0,0,Normal
4,2,6.3,0.58,0.089,0,0,0,Normal
4,3,1.6,1.19,0.145,1,0,1,Danger
4,4,2.4,1.09,0.127,1,0,1,Danger
4,5,2.6,0.81,0.1,0,0,0,Normal
4,6,4.9,0.81,0.116,0,0,0,Normal
4,7,6,0.75,0.105,0,0,0,Normal
4,8,3.4,1.16,0.164,1,0,1,Danger
4,9,9.6,0.29,0.035,0,0,0,Normal
4,10,3.8,1.07,0.161,1,0,1,Danger
4,11,2.6,1.01,0.13,1,0,1,Danger
4,12,6.4,0.66,0.071,0,0,0,Normal
4,13,7,0.65,0.082,0,0,0,Normal
4,14,3.1,1.14,0.168,1,0,1,Danger
4,15,3.1,1.21,0.159,1,0,1,Danger
4,16,6,1.04,0.134,1,0,1,Danger
4,17,2.5,1.28,,1,0,1,Danger
4,18,0.4,,0.159,0,0,0,Normal
4,19,0.5,0.97,0.144,0,0,0,Normal
4,20,6.3,0.9,0.143,0,0,0,Normal
